line,tipo,data_ocorrencia,endereco,latitude,longitude
2,Homicidio,03/02/2017,"RUA AZEVEDO SOARES, 1670 TATUAPE - 03322001 S.PAULO SP",-23.547844,-46.5606526
47,Homicidio,31/01/2017,"AVENIDA CARLOS CALDEIRA FILHO, 92 CAPAO REDONDO - 05798350 S.PAULO SP",-23.6460794,-46.7533527
48,Homicidio,01/02/2017,"RUA FRAGATA CONSTITUICAO, 49 JARAGUA - 02986080 S.PAULO SP",-23.4351624,-46.7155766
50,Homicidio,01/02/2017,"RUA CAPITAO MOR JERONIMO LEITAO, 104 REPUBLICA - 01032020 S.PAULO SP",-23.5411921,-46.6348113
52,Homicidio,02/02/2017,"AVENIDA AIRTON PRETINI, 0 TATUAPE - 03090000 S.PAULO SP",-23.5282312,-46.5550422
53,Homicidio,02/02/2017,"RUA DA BARACELA, 46 VILA MARIA - 02190120 S.PAULO SP",-23.5091637,-46.5595699
54,Homicidio,03/02/2017,"RUA BENJAMIN WEST, 26 PARELHEIROS - 04858420 S.PAULO SP",-23.7704731,-46.7165502
55,Homicidio,03/02/2017,"ESTRADA TRES CRUZES, 100 TREMEMBE - 02285000 S.PAULO SP",-23.4292458,-46.5672101
56,Homicidio,03/02/2017,"ESTRADA TRES CRUZES, 100 TREMEMBE - 02285000 S.PAULO SP",-23.4292458,-46.5672101
57,Homicidio,03/02/2017,"ESTRADA TRES CRUZES, 100 TREMEMBE - 02285000 S.PAULO SP",-23.4292458,-46.5672101
58,Homicidio,04/02/2017,"RUA BARAO DE LADARIO, 342 BRAS - 03010000 S.PAULO SP",-23.5391165,-46.6190129
59,Homicidio,04/02/2017,"RUA JOSE ADAO, 22 ANHANGUERA - 05273110 S.PAULO SP",-23.4373047,-46.806405
60,Homicidio,04/02/2017,"ACESSO AVENIDA RAGUEB CHOHFI, 3000 IGUATEMI - - S.PAULO SP",-23.5968393,-46.4565323
61,Homicidio,04/02/2017,"RUA DORIVAL FERRAZ DA SILVA, 247 PEDREIRA - 04430170 S.PAULO SP",-23.6927449,-46.6524449
62,Homicidio,04/02/2017,"RUA DORIVAL FERRAZ DA SILVA, 247 PEDREIRA - 04430170 S.PAULO SP",-23.6927449,-46.6524449
63,Homicidio,04/02/2017,"AVENIDA DOUTOR BERNARDINO BRITO FONSECA, 200 VILA MATILDE - 03535000 S.PAULO SP",-23.5332606,-46.5208251
65,Homicidio,04/02/2017,"AVENIDA RAGUEB CHOHFI, 1513 SAO MATEUS - 08375000 S.PAULO SP",-23.5998085,-46.4698677
66,Homicidio,04/02/2017,"RUA DOS CORATIS, 296 PEDREIRA - 04473270 S.PAULO SP",-23.7054256,-46.6488845
68,Homicidio,05/02/2017,"AVENIDA CUPECE, 4767 CIDADE ADEMAR - - S.PAULO SP",-23.6756232,-46.6420644
69,Homicidio,05/02/2017,"AVENIDA CUPECE, 4767 CIDADE ADEMAR - - S.PAULO SP",-23.6756232,-46.6420644
70,Homicidio,05/02/2017,"AVENIDA CUPECE, 4767 CIDADE ADEMAR - - S.PAULO SP",-23.6756232,-46.6420644
71,Homicidio,06/02/2017,"RUA AMOREPINIMA, 100 SAPOPEMBA - 03980140 S.PAULO SP",-23.6136755,-46.5106213
77,Homicidio,04/02/2017,"RUA BARAO DE LADARIO, 342 BRAS - 03010000 S.PAULO SP",-23.5391165,-46.6190129
81,Homicidio,07/02/2017,"RUA DENIS CHAUDET, 15 RAPOSO TAVARES - 05528220 S.PAULO SP",-23.5912043,-46.7538436
82,Homicidio,08/02/2017,"RUA EIDE MORENA, 265 CIDADE ADEMAR - 04429190 S.PAULO SP",-23.6790672,-46.6633228
84,Homicidio,10/02/2017,"RUA SENADOR FLAQUER, 1 SANTO AMARO - 04744030 S.PAULO SP",-23.6533111,-46.7064476
85,Homicidio,10/02/2017,"RUA SENADOR FLAQUER, 1 SANTO AMARO - 04744030 S.PAULO SP",-23.6533111,-46.7064476
86,Homicidio,12/02/2017,"RUA AUGUSTO TEIXEIRA, 0 GRAJAU - 04841160 S.PAULO SP",-23.7386945,-46.6868568
87,Homicidio,12/02/2017,"RUA MATIMPERERE, 16 BRASILANDIA - 02878030 S.PAULO SP",-23.4510676,-46.6909337
88,Homicidio,13/02/2017,"RUA DOMINGOS VEGA, 616 FREGUESIA DO O - 02837000 S.PAULO SP",-23.4639913,-46.7008151
89,Homicidio,13/02/2017,"RUA DOMINGOS VEGA, 616 FREGUESIA DO O - 02837000 S.PAULO SP",-23.4639913,-46.7008151
90,Homicidio,13/02/2017,"RUA MARIA DE SAO JOSE CUNHA, 22 CACHOEIRINHA - 02617050 S.PAULO SP",-23.4683524,-46.6574844
92,Homicidio,14/02/2017,"AVENIDA CORONEL ALVES E ROCHA FILHO, 489 ITAQUERA - 08235770 S.PAULO SP",-23.5211973,-46.4654895
93,Homicidio,15/02/2017,"RUA NAME, 286 PENHA - 03662020 S.PAULO SP",-23.5220094,-46.4986476
94,Homicidio,15/02/2017,"AVENIDA ARICANDUVA, 12000 PARQUE DO CARMO - - S.PAULO SP",-23.5930695,-46.4696851
95,Homicidio,15/02/2017,"AVENIDA ARICANDUVA, 12000 PARQUE DO CARMO - - S.PAULO SP",-23.5930695,-46.4696851
96,Homicidio,16/02/2017,"RUA FORTE DE SANTO ANTONIO, 78 JARDIM ANGELA - 04945230 S.PAULO SP",-23.7167325,-46.7811724
97,Homicidio,17/02/2017,"AVENIDA DO ESTADO, 4000 SE - - S.PAULO SP",-23.5565894,-46.6217454
99,Homicidio,17/02/2017,"RUA MIGUEL DAMASCENO, 131 JD SAO LUIS - 05820180 S.PAULO SP",-23.6670175,-46.742714
100,Homicidio,18/02/2017,"AVENIDA JORNALISTA ROBERTO MARINHO, 3780 CAMPO BELO - 04576010 S.PAULO SP",-23.6328784,-46.670308
101,Homicidio,17/02/2017,"ESTRADA DE ITAPECERICA, 1661 JD SAO LUIS - 05835000 S.PAULO SP",-23.6485499,-46.7491643
102,Homicidio,18/02/2017,"AVENIDA MARIA COELHO AGUIAR, 1258 JD SAO LUIS - 05805000 S.PAULO SP",-23.655199,-46.7358944
103,Homicidio,19/02/2017,"AVENIDA ADRIANO BERTOZZI, 624 PARQUE DO CARMO - 08265000 S.PAULO SP",-23.5719736,-46.4520564
104,Homicidio,20/02/2017,"RUA MACHADO NUNES, 0 CIDADE LIDER - 08275310 S.PAULO SP",-23.5789184,-46.4871316
105,Homicidio,20/02/2017,"AVENIDA MBOI GUACU, 883 JARDIM ANGELA - 04949000 S.PAULO SP",-23.722614,-46.7728594
106,Homicidio,20/02/2017,"RUA MARCO BASAITI, 0 CAPAO REDONDO - 05869250 S.PAULO SP",-23.6751308,-46.7722765
107,Homicidio,20/02/2017,"ESTRADA DO PALANQUE, 4000 IGUATEMI - 08485520 S.PAULO SP",-23.6134707,-46.4093444
